track_id,track_name,artist_name,artist_uri,album_name,duration_ms,release_date,popularity,explicit,album_cover_image,genres
2FCaYrweDiATqvZYDmHqlr,Rodo,Adekunle Gold,spotify:artist:2IK173RXLiCSQ8fhDlAb3s,Rodo,143756,2024-04-26,60,False,https://i.scdn.co/image/ab67616d0000b27323cbabf96f61d68f9db0d58e,"afrobeats, afropop, alte, azontobeats, nigerian hip hop, nigerian pop"
3GMdp6clyAh7wZWVYOtoS9,Amapiano,Asake,spotify:artist:3a1tBryiczPAZpgoZN9Rzg,Amapiano,165000,2023-05-23,54,True,https://i.scdn.co/image/ab67616d0000b2736536d3fc10f5332e496922bd,"afrobeats, nigerian pop"
3KanRQJTuX9hTRG2rnscYO,KU LO SA,Oxlade,spotify:artist:3WTrdbZU99dgTtt3ZkyamT,KU LO SA,148786,2022-10-21,52,False,https://i.scdn.co/image/ab67616d0000b273b919d94aa6ebc4b64081c65e,"afrobeats, nigerian pop"
5tM3Fo4qBqDAwWJ9ZY5AtX,YAWA,Fireboy DML,spotify:artist:75VKfyoBlkmrJFDqo1o2VY,YAWA,180000,2023-06-22,63,True,https://i.scdn.co/image/ab67616d0000b2733ed9efcda9c969dd67150378,"afrobeats, nigerian pop"
4AxG1T6UJJ4xCX4Wz6JDLG,People (feat. Ayra Starr & Omah Lay),Libianca,spotify:artist:7kjSuFGKhLm8b5qXoMhRkJ,People (Remixes),184633,2023-03-31,66,True,https://i.scdn.co/image/ab67616d0000b2731a3760dd592be4d8062e2435,afrobeats
2LP8KwtvzUx1onvXKQCoKR,WOTOWOTO SEASONING (feat. Black Sherif),ODUMODUBLVCK,spotify:artist:3LOm0AZjpwVQebvkyanjDy,EZIOKWU (UNCUT),171089,2023-12-01,64,True,https://i.scdn.co/image/ab67616d0000b2736d77c5ff5ca9901f0f3eecff,"afro drill, afrobeats, nigerian pop"
7yKjDDd9w01nFEOD5adoHq,Do I - Remix,Phyno,spotify:artist:6acbdy69rtlv8m9EW31MYl,Do I (Remix),138069,2023-12-19,59,True,https://i.scdn.co/image/ab67616d0000b2738352145841b67fac282b4f10,"afrobeats, afropop, igbo pop, igbo rap, nigerian hip hop, nigerian pop"
442DDArcRLNRxEeF75jRVk,Shu! (feat. Chley),Diamond Platnumz,spotify:artist:3cAisWS37sGCCtRgWfvrod,Shu! (feat. Chley),263571,2023-07-03,56,False,https://i.scdn.co/image/ab67616d0000b27352d7418eaef9b7253dad99d6,"azontobeats, bongo flava, tanzanian pop"
5IelW2v32KZHJKwsoJsAwN,THIS YEAR (Blessings) - Remix,Victor Thompson,spotify:artist:5c0lDrNyT2RnFhujZpPIas,THIS YEAR (Blessings) [Remix],160239,2023-10-13,56,False,https://i.scdn.co/image/ab67616d0000b273da4a0db02c05649049d72d1b,naija worship
1iBWjQ9af9NnUd5xnQDB3k,Charm,Rema,spotify:artist:46pWGuE3dSwY3bMMXGBvVS,Rave & Roses Ultra,204750,2023-04-27,66,True,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7,"afrobeats, nigerian pop"
5HM5trJxTouv3eUVcbW8sh,Sensational (feat. Davido & Lojay),Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Sensational (feat. Davido & Lojay),231109,2023-10-20,61,True,https://i.scdn.co/image/ab67616d0000b27316e242d8d25ab66ba4484e48,"r&b, rap"
2GWkO5XkrxGJJWrKxLLRjA,Go Hard,Young Jonn,spotify:artist:4JM1zsVj1pt38Q8mhv5teI,Disconnect + Go Hard,153103,2023-11-17,49,False,https://i.scdn.co/image/ab67616d0000b273b4e2ac1d9078ac8224550d89,"afrobeats, nigerian pop"
5YEVBJnnt2qMM67NGCjEdV,INTOXYCATED (feat. Dave),Oxlade,spotify:artist:3WTrdbZU99dgTtt3ZkyamT,INTOXYCATED (feat. Dave),212000,2023-07-12,59,False,https://i.scdn.co/image/ab67616d0000b273e80c5306c175a6071816daa3,"afrobeats, nigerian pop"
25Kyv5SeEenT0EETpP2hYn,"Soweto (with Don Toliver, Rema & Tempoe)",Victony,spotify:artist:1E5hfn5BduN2nnoZCJmUVG,"Soweto (with Don Toliver, Rema and Tempoe)",219500,2023-03-22,70,True,https://i.scdn.co/image/ab67616d0000b273445b51a80b7faf001a554632,"afrobeats, nigerian pop"
3SA6Rfor4ghxWbyxxdpV3c,Arizona,Lojay,spotify:artist:3ONGmday8YN8AkbsRk01iL,Arizona,139706,2023-11-24,48,True,https://i.scdn.co/image/ab67616d0000b273271d24dfb7bfe9c950d30d66,"afrobeats, alte, nigerian pop"
6rTC6IsG0y0TYoGggKpccz,soso,Omah Lay,spotify:artist:5yOvAmpIR7hVxiS6Ls5DPO,Boy Alone,183056,2022-07-15,1,False,https://i.scdn.co/image/ab67616d0000b2737e885b67a19042014cac3475,afrobeats
1rrqJ9QkOBYJlsZgqqwxgB,Rush,Ayra Starr,spotify:artist:3ZpEKRjHaHANcpk10u6Ntq,Rush,185093,2022-09-16,68,False,https://i.scdn.co/image/ab67616d0000b273a4ec2f14b1c0d7851efb5090,afrobeats
5dVJTSZhL2n81ZkT4PZu0x,Jinja,Olamide,spotify:artist:4ovtyvs7j1jSmwhkBGHqSr,Unruly,155019,2023-08-08,59,False,https://i.scdn.co/image/ab67616d0000b27371e67220f3c56980c2187489,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop"
0GeZh7YiQRqYwHS2IdEskL,Only Me,Asake,spotify:artist:3a1tBryiczPAZpgoZN9Rzg,Only Me,159310,2024-01-12,58,False,https://i.scdn.co/image/ab67616d0000b27370a25c271267551d7c6a3271,"afrobeats, nigerian pop"
2khv04F26pnJr4989Maowi,Twe Twe,Kizz Daniel,spotify:artist:1X6cBGnXpEpN7CmflLKmLV,Twe Twe,143111,2024-01-25,60,False,https://i.scdn.co/image/ab67616d0000b273ddbbec8ef7abd122c07854fe,"afrobeats, afropop, azontobeats, nigerian pop"
1CH0DtnpkZ6peTWY1EadHu,ARABAMBI,Oxlade,spotify:artist:3WTrdbZU99dgTtt3ZkyamT,ARABAMBI,190226,2024-06-14,54,False,https://i.scdn.co/image/ab67616d0000b2738fcb12293b7d22f458d2ea69,"afrobeats, nigerian pop"
4Gasn91fsCefnN8zM5GjA8,Finesse,Pheelz,spotify:artist:5Jv1MsZBh0sqokFq7pU8Xg,Finesse,155293,2022-03-03,63,False,https://i.scdn.co/image/ab67616d0000b2738689f99f7ebeea62a569f720,"afrobeats, nigerian pop"
6cyXHTix4NQ069gKJEYv41,Tshwala Bam (feat. S.N.E) - Remix,TitoM,spotify:artist:5eYSqn4LCXLgIFYR4qOZ1k,Tshwala Bam (feat. S.N.E) [Remix],203571,2024-05-13,71,False,https://i.scdn.co/image/ab67616d0000b2730bb62a593d9c8d0d4dd707a9,amapiano
3gy21TwRSP40aUMwcY7Rtq,Navigating,Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,Clancy,223106,2024-05-24,73,False,https://i.scdn.co/image/ab67616d0000b2739cf15c7323fb85b7112197d5,"modern rock, pop, pov: indie, rock"
6Bi1Y7TD70eWTCKn7jsQQm,A Tear in Space (Airlock),Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,A Tear in Space (Airlock),203989,2024-06-07,71,False,https://i.scdn.co/image/ab67616d0000b27339266eeddfd90b43ba544f7b,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
1PIBxfR4k67snh0hUSgzPs,Lost In Space,Foster The People,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,Lost In Space,258939,2024-05-31,61,False,https://i.scdn.co/image/ab67616d0000b273b4b99e5087850ef39d60d5dc,"indietronica, modern alternative rock, modern rock, rock"
1fYdtAhgGLKmOZE46mCGm0,All A Mystery,Phantogram,spotify:artist:1l9d7B8W0IHy3LqWsxP2SH,All A Mystery,189053,2024-05-31,52,False,https://i.scdn.co/image/ab67616d0000b2730029c2729052b37352646fec,"indietronica, metropopolis, neo-synthpop"
6kgn7bCEXk0A5ZrPqrRZwc,Baby Blue Movie,Cigarettes After Sex,spotify:artist:1QAJqy2dA3ihHBFIHRphZj,Baby Blue Movie,244733,2024-06-04,66,False,https://i.scdn.co/image/ab67616d0000b2735f3ff9ea709e52bff6c6b4dd,"ambient pop, dream pop, el paso indie, shoegaze"
30AvLvLFOVvu5vjFLtdCHq,High In Low Places,Beach Weather,spotify:artist:7I3bkknknQkIiatWiupQgD,High In Low Places,190828,2024-05-31,52,False,https://i.scdn.co/image/ab67616d0000b27370379913139b1e2db4c80069,pov: indie
2dono2Koz7DEvGwxUsmMLq,Linger - SiriusXM Session,Royel Otis,spotify:artist:5b5bt4mZQpJMoCRbiQ7diH,Linger / Heading For The Door (Sirius XM Session),186000,2024-05-31,73,False,https://i.scdn.co/image/ab67616d0000b273ccaa2ab01efad107f3952454,australian indie rock
3ISlzLXLm9RvTZ1wU6QwK7,Rock N Roller,KALEO,spotify:artist:7jdFEYD2LTYjfwxOdlVjmc,Rock N Roller,223694,2024-06-07,57,False,https://i.scdn.co/image/ab67616d0000b273cda0c75146883736933c786a,"icelandic indie, icelandic rock, modern alternative rock"
4c7iXNRiy72rMXfRTR9V0V,On The Game,The Black Keys,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,Ohio Players,242838,2024-04-05,56,False,https://i.scdn.co/image/ab67616d0000b2739be22a3e8e1bc7d8bc643d07,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock"
1N0O2fiLHAPkscHxa3ccW2,Make It All Right,The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,Make It All Right,214053,2024-06-07,60,False,https://i.scdn.co/image/ab67616d0000b273cac23b6eddc76b57eb3d7239,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk"
2Nq4SFbvYYZa8AF7lD7CWU,Sexy to Someone,Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,Sexy to Someone,207795,2024-05-23,76,False,https://i.scdn.co/image/ab67616d0000b27374362c2135b974941620e189,"bedroom pop, indie pop, pov: indie"
5ivyL3WEFCo0IfivYC0FOF,Naked And Alive,Milky Chance,spotify:artist:1hzfo8twXdOegF3xireCYs,Naked And Alive,207669,2024-05-30,61,False,https://i.scdn.co/image/ab67616d0000b273e924a3cc6063cc323d4180c5,"german pop, modern rock"
3ngjq0C1z1kVYAdBH5114w,Every Little Thing I Say I Do,Dayglow,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,Every Little Thing I Say I Do,180209,2024-05-03,57,False,https://i.scdn.co/image/ab67616d0000b2732bd5cbd58bfe402be3bb808a,"austindie, indie rock, pov: indie"
3SH1vOTwgg5Ma1NhHaXvrA,Echo,The Marías,spotify:artist:2sSGPbdZJkaSE2AbcGOACx,Submarine,209426,2024-05-31,64,False,https://i.scdn.co/image/ab67616d0000b2734d070fdf58fad8c54c5beb85,"bedroom pop, la indie"
6WTFHKrnZpwEBLRS10Ylqs,misses,Dominic Fike,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs,14 minutes,74378,2024-05-03,77,False,https://i.scdn.co/image/ab67616d0000b273abdde781e79a44868914e661,"alternative pop rock, pov: indie"
1mWwtzS4kByon7itf7TGQe,The Blue-Eyed Devil,Highly Suspect,spotify:artist:2pqd3HsfsvcBGtHvPOg6eg,The Blue-Eyed Devil,268317,2024-06-18,41,True,https://i.scdn.co/image/ab67616d0000b273fbd446bdc7c91efc2525434f,"modern alternative rock, modern rock, post-grunge"
